"ensembl_id","logFC","adj.P.Val"
"ENSG00000103375",-7.15878278691881,3.80093155923105e-11
"ENSG00000131096",-7.11506356400898,1.22009373655722e-08
"ENSG00000044012",-6.90901601249162,3.12080251833997e-09
"ENSG00000133742",-6.75417929577592,1.72191210800904e-09
"ENSG00000183034",-6.73479150407387,2.58623860669945e-12
"ENSG00000174992",-6.36781426389199,1.30539309177355e-08
"ENSG00000157005",-6.30847926989561,3.40696627321825e-10
"ENSG00000182271",-6.22467242196322,7.99108004001707e-10
"ENSG00000168748",-6.18876384489442,2.98366863637449e-11
"ENSG00000142959",-5.99406722484888,9.36565394519605e-12
"ENSG00000197273",-5.85759485821999,1.50324093269218e-08
"ENSG00000115263",-5.74808782827631,1.02179361914177e-09
"ENSG00000071203",-5.6527985665517,4.45831635301733e-09
"ENSG00000172410",-5.61686524751929,8.29652815264764e-07
"ENSG00000164530",-5.43184198493778,2.09503807418401e-11
"ENSG00000156284",-5.40358781239618,4.87975292464253e-08
"ENSG00000167434",-5.38524576580366,6.96044195119905e-08
"ENSG00000168447",-5.33412598809295,6.86059067411891e-09
"ENSG00000204936",-5.24978423184228,1.8062618655339e-09
"ENSG00000100604",-5.22188903350631,1.86067723058319e-09
"ENSG00000091138",-5.20776841913428,1.45102018122568e-07
"ENSG00000253701",-5.18449524774011,4.71300105833862e-08
"ENSG00000174358",-5.01921112181166,3.37328928022517e-08
"ENSG00000016602",-5.01825827559764,3.53434024213227e-07
"ENSG00000079689",-4.91935450566626,4.24691699381803e-12
"ENSG00000205364",-4.86132383685988,2.11624410721952e-09
"ENSG00000240498",-4.82772960493781,8.48026744928543e-10
"ENSG00000269404",-4.8266073126936,7.55975834701325e-10
"ENSG00000196616",-4.74886642745348,2.45431434917592e-10
"ENSG00000211890",-4.7231852218646,4.13518425739746e-07
"ENSG00000007306",-4.70107758032014,2.05118404365569e-07
"ENSG00000104267",-4.63734599615745,1.98044513329285e-08
"ENSG00000211895",-4.63366183328585,6.42294755467923e-07
"ENSG00000155850",-4.61661723935624,1.51712939402522e-08
"ENSG00000104332",-4.60400455016816,1.88677691427205e-10
"ENSG00000112936",-4.59449547857926,2.98366863637449e-11
"ENSG00000106809",-4.59082789676417,1.40388486470798e-11
"ENSG00000153446",-4.53694819690881,1.69272766101839e-11
"ENSG00000248144",-4.49663156928535,1.57062832668649e-07
"ENSG00000064205",-4.48691803788737,2.94973473484978e-12
"ENSG00000197165",-4.47221092660204,1.51033629620681e-08
"ENSG00000170323",-4.46256331314607,3.32460161983663e-11
"ENSG00000222375",-4.4332609457604,6.04589460732671e-08
"ENSG00000187783",-4.40517788543305,1.24190475882445e-10
"ENSG00000205358",-4.3274079313167,8.6024831879451e-09
"ENSG00000132465",-4.31380935373434,4.13291791166953e-07
"ENSG00000259823",-4.31367827799011,1.1064375883829e-07
"ENSG00000039987",-4.31037586736942,1.76375334176345e-07
"ENSG00000173237",-4.3031996929655,1.00368456158621e-06
"ENSG00000235026",-4.26730466022347,1.09863012002469e-09
"ENSG00000163497",-4.23437985449031,3.80611039673052e-10
"ENSG00000167916",-4.20691468355984,8.0057636574886e-11
"ENSG00000162706",-4.17335679145235,4.24691699381803e-12
"ENSG00000224958",-4.17296414496595,2.9209344661448e-11
"ENSG00000092009",-4.14614427477364,2.70680965978457e-09
"ENSG00000197766",-4.13414396907511,1.21464900002078e-07
"ENSG00000080493",-4.12981276242457,5.65522822394315e-09
"ENSG00000109182",-4.07541661531753,3.11991676683071e-08
"ENSG00000186198",-4.05088782292924,1.57274680455724e-07
"ENSG00000166828",-4.05072652840848,1.42145072164786e-08
"ENSG00000111404",-4.04288507204958,4.24691699381803e-12
"ENSG00000168079",-4.01554026418283,1.2763417965665e-07
"ENSG00000048462",-4.00586876118289,4.07430776914381e-08
"ENSG00000119147",-3.94291202351529,1.36766897394455e-11
"ENSG00000143196",-3.93015237792517,1.52364698359453e-07
"ENSG00000175785",-3.92789846126248,7.83832192289338e-12
"ENSG00000203859",-3.92551797038574,1.13805632183237e-07
"ENSG00000243531",-3.91542121077769,2.87202570181742e-06
"ENSG00000211685",-3.9150939727226,8.32123772049513e-07
"ENSG00000016490",-3.90728104986745,2.21037667258635e-05
"ENSG00000119121",-3.89813223348891,2.71079979727755e-09
"ENSG00000102109",-3.88903457156144,5.61276064569873e-06
"ENSG00000146039",-3.88217465734247,1.20676707362325e-10
"ENSG00000207296",-3.87020637337305,4.49778411066567e-09
"ENSG00000128040",-3.86971191455688,1.84706771300823e-08
"ENSG00000152785",-3.8657486618591,7.51362738697149e-11
"ENSG00000100448",-3.84506669016386,4.8428869780731e-08
"ENSG00000123560",-3.84142313883693,2.58623860669945e-12
"ENSG00000172724",-3.83209346403395,1.98131636224218e-08
"ENSG00000162460",-3.81771065533498,1.17512823168726e-06
"ENSG00000166869",-3.81503300228944,1.78746849965531e-07
"ENSG00000225825",-3.80180551808432,3.35538134552517e-05
"ENSG00000019102",-3.79730631535817,1.66244748913638e-06
"ENSG00000167800",-3.76307351642107,6.16039610202505e-07
"ENSG00000269667",-3.75641200113089,1.26540820353645e-08
"ENSG00000182816",-3.74943278717066,4.93872533763941e-07
"ENSG00000172005",-3.74765372209975,4.24691699381803e-12
"ENSG00000270403",-3.73951005633559,2.43365041757339e-06
"ENSG00000163815",-3.72533543579233,1.08089354219781e-08
"ENSG00000141338",-3.68456807178876,6.16379127434925e-10
"ENSG00000116748",-3.67634973841917,8.01088686968034e-11
"ENSG00000211679",-3.66995358845025,1.05347274533287e-06
"ENSG00000135220",-3.65756339342086,9.77613105489304e-07
"ENSG00000163586",-3.65686358101092,1.17862097262346e-05
"ENSG00000163295",-3.65622144331339,1.15155543145213e-07
"ENSG00000117115",-3.64280424205561,3.80846910217268e-10
"ENSG00000167701",-3.63238221633895,2.2489113210303e-06
"ENSG00000162040",-3.62462299817274,5.05072164576335e-09
"ENSG00000034971",-3.61853495372345,1.80853059143084e-08
"ENSG00000118777",-3.61830417539686,2.05329140525595e-10
"ENSG00000256843",-3.60758451574224,2.150939760059e-07
"ENSG00000134028",-3.60562807601282,2.11624410721952e-09
"ENSG00000187699",-3.60488224867746,3.57719945944778e-10
"ENSG00000237111",-3.59902438552211,1.655663106154e-05
"ENSG00000189129",-3.57738398085875,2.44591149519927e-06
"ENSG00000089199",-3.57550338174135,7.27613213189456e-10
"ENSG00000124205",-3.57407796629408,3.35965697649845e-07
"ENSG00000240505",-3.54867890079672,2.20402313970357e-10
"ENSG00000254645",-3.54833077764207,6.09002724848366e-08
"ENSG00000162461",-3.54465378440698,2.98366863637449e-11
"ENSG00000211595",-3.53648119737651,8.83268264333788e-06
"ENSG00000211900",-3.53629021754171,2.29425680400985e-05
"ENSG00000116194",-3.53374953783626,6.02243967414818e-11
"ENSG00000249453",-3.53327377997735,1.39249034287172e-08
"ENSG00000227196",-3.53256060114425,1.47988904341828e-06
"ENSG00000122756",-3.52316152954207,8.30489078155601e-10
"ENSG00000211677",-3.51917335404339,1.20841101790511e-06
"ENSG00000178473",-3.48451084494211,2.73163356338542e-06
"ENSG00000205277",-3.48036214964571,8.36473055756543e-06
"ENSG00000130055",-3.47414238641231,9.22742091634982e-09
"ENSG00000234690",-3.46901627991621,4.27669081974388e-06
"ENSG00000184544",-3.46082009762499,3.12924676526986e-09
"ENSG00000211593",-3.45362657233437,2.66879252158771e-05
"ENSG00000165072",-3.44622683855011,3.12924676526986e-09
"ENSG00000197561",-3.41924831328541,1.15413111421005e-08
"ENSG00000271447",-3.3739690739775,1.23601730383644e-09
"ENSG00000137634",-3.35811017730754,1.43363221153583e-05
"ENSG00000211592",-3.34266824885372,1.56221382914759e-06
"ENSG00000196660",-3.32118434297349,1.02062971013776e-09
"ENSG00000134240",-3.30919120841622,1.14531207355451e-06
"ENSG00000100079",-3.30446720467975,7.4920476841378e-05
"ENSG00000211642",-3.3026907347694,2.60308878965086e-06
"ENSG00000166825",-3.28518985609014,1.60566130343268e-06
"ENSG00000125144",-3.28292127283071,1.94218518711387e-07
"ENSG00000018625",-3.26422157939053,7.35057110559609e-09
"ENSG00000104921",-3.2637031281345,9.34718936884346e-11
"ENSG00000036672",-3.26118448502846,8.0057636574886e-11
"ENSG00000167080",-3.25976765410781,5.97098558480512e-06
"ENSG00000095110",-3.25678494831086,4.25109920852881e-06
"ENSG00000124253",-3.25493840101514,8.05330998319343e-08
"ENSG00000163687",-3.25232481693256,2.97064951511241e-07
"ENSG00000166816",-3.25078845096078,9.31142815734384e-08
"ENSG00000111863",-3.24656257765146,4.88058863019216e-07
"ENSG00000277054",-3.23129711705778,1.90553745768354e-07
"ENSG00000254709",-3.22191184976233,2.68307489410804e-08
"ENSG00000268555",-3.21473441566374,7.77986145792398e-08
"ENSG00000222037",-3.21086561463635,1.18203379385576e-07
"ENSG00000168477",-3.20556485511071,1.03367602997318e-07
"ENSG00000135549",-3.20084086213933,7.5036156745853e-10
"ENSG00000211649",-3.18945957962885,6.04726547471995e-05
